category,Regex,Concept
cultural_dim,"(?ix)^(?!.*\b(?:arts?|artists?|art\s+industry|arts?\s+industry|museum|gallery|creative|creatives?|creative\s+industries?|film|tv|cinema|screen\s+sector|grant|grants|funding|Chinese|waste\s+prevention|fundings|heritage(?:\s|[^\w])+\s*fund|culture\s+sector|cultural\s+industry|cultural\s+industries?|first\s+nations?|indigenous|aboriginal|m[ée]tis|inuit|immigrants?|diversit\w*|multicultural\w*|democratic|institution\w*)\b).*?\b(our|(?:nation\w*|provinc(?:e|ial)|Alberta|Manitoba|Saskatchewan|Ontario|Québec|Quebec|British\s+Columbia|Newfoundland(?:\s+and\s+Labrador)?|Nova\s+Scotia|New\s+Brunswick|Prince\s+Edward\s+Island|PEI|Yukon|Northwest\s+Territories|Nunavut)[‘’]s|Canadian|Albertan|Manitoban|Saskatchewanian|Saskatchewanians?|British\s+Columbian|Ontarian|Quebecois|Quebecker|Newfoundlander|Labradorian|Nova\s+Scotian|New\s+Brunswicker|Islander(?:s)?|Yukoner|Northwest\s+Territorian|Nunavummiut|Western)\b(?:\s+\w+){0,5}?\s+\b(?:identity|character|culture|way\s+of\s+life|tradition|heritage|pride|values|customs?|legac\w*|attain\w*|achievement)\b","Terms representing our, national or provincial qualifier and terms for culture, heritage and identity (there is many vetoes, including the art industry for culture and natives)"
cultural_dim,(?ix)(?=.*\bforeign\b)(?=.*\b(?:interests?|attacks?|owned|funded|interferences?|ban|corporations|interfering|speculators|horrible|meddling)\b).*,The word foreign and terms representing threat or interference
cultural_dim,(?i)\banti[-\s]?(?:canada|canadian(?:s)?|alberta|albertan(?:s)?|british\s+columbia|british\s+columbian(?:s)?|manitoba|manitoban(?:s)?|saskatchewan|saskatchewanian(?:s)?|ontario|ontarian(?:s)?|qu[ée]bec|qu[ée]b[ée]cois|quebecker(?:s)?|newfoundland(?:\s+and\s+labrador)?|newfoundlander(?:s)?|labradorian(?:s)?|nova\s+scotia|nova\s+scotian(?:s)?|new\s+brunswick|new\s+brunswicker(?:s)?|prince\s+edward\s+island|pei|islander(?:s)?|yukon|yukoner(?:s)?|northwest\s+territories|northwest\s+territorian(?:s)?|nunavut|nunavummiut|western)\b,"The prefix Anti- and the country, provinces and their inhabitants"
cultural_dim,(?i)\b(?:homeland|native\s+land|home\s+and\s+native\s+land)\b,Territorial belonging
cultural_dim,"(?i)\b(?:preserv\w*|protect\w*|defend\w*|safeguard\w*|conserv\w*|maintain\w*|uphold\w*)\b(?:\s+\w+){0,5}?\b(?:our|canadians?|albertans?|manitobans?|saskatchewanians?|ontarians?|qu[eé]becois?|quebeckers?|british\s+columbians?|newfoundlanders?|labradorians?|nova\s+scotians?|new\s+brunswickers?|islanders?|yukoners?|northwest\s+territorians?|nunavummiut|alberta|manitoba|saskatchewan|ontario|qu[eé]bec|british\s+columbia|newfoundland(?:\s+and\s+labrador)?|nova\s+scotia|new\s+brunswick|prince\s+edward\s+island|pei|yukon|northwest\s+territories|nunavut)\b(?:\s+\w+){0,5}?\b(?:heritage|culture|identity|way\s+of\s+life|tradition|values)\b|(?i)\b(?:heritage|culture|identity|way\s+of\s+life|tradition|values)\b(?:\s+\w+){0,5}?\bof\b(?:\s+the)?\s+(?:our|canadians?|albertans?|manitobans?|saskatchewanians?|ontarians?|qu[eé]becois?|quebeckers?|british\s+columbians?|newfoundlanders?|labradorians?|nova\s+scotians?|new\s+brunswickers?|islanders?|yukoners?|northwest\s+territorians?|nunavummiut|alberta|manitoba|saskatchewan|ontario|qu[eé]bec|british\s+columbia|newfoundland(?:\s+and\s+labrador)?|nova\s+scotia|new\s+brunswick|prince\s+edward\s+island|pei|yukon|northwest\s+territories|nunavut)","Term representing our, national or provincial qualifier, term for culture, heritage and identity and terms using defensive language (uses a proximity filter and makes sure it catches sentences regardless of ordering)"
cultural_dim,"(?i)^(?=.*\btradit\w*\b)(?!.*\b(?:first\s+nations?|indigenous|aboriginal|m[ée]tis|inuit|native\w*)\b)(?!.*\btraditional(?:\s+\w+){0,1}\s+(?:industries|companies|measures)\b)(?=.*\b(?:love|pride|loyal\w*|preserv\w*|protect\w*|defend\w*|safeguard\w*|unique\w*|attain\w*|achiev\w*|sovereign\w*|identif\w*|struggl\w*|fight\w*|roots?|belong\w*|siege\w*|invad\w*|erod\w*|attack\w*|damag\w*|encroach\w*|subvert\w*|undermin\w*|corrupt\w*|threaten\w*|hijack\w*|eat\w*\s+away|dilut\w*)\b).*$","The word tradition and a term for positive affect, threat or defence ( vetoes First Nations OR Traditional economic sectors)"
cultural_dim,(?i)\b(?:real|genuine|proud|loyal\w*|well[- ]?behav\w*|good|virtuous|decent|respectable)\s+(?:citizens?|women|men|girls?|boys?|children|canadians?|albertans?|manitobans?|saskatchewanians?|ontarians?|qu[eé]becois|quebeckers?|british\s+columbians?|new\s+brunswickers?|nova\s+scotians?|prince\s+edward\s+islanders?|newfoundlanders?|labradorians?|yukoners?|northwest\s+territorians?|nunavummiut)\b,Term for authenticity and terms for civic or national group
cultural_dim,(?ix)^(?=.*?\b(?:enemies?|destroyers?|traitors?|betray(?:ers?))\b)(?=.*?\b(?:of\s+|[‘’]s\s*)?(?:canada|canadian(?:s)?|alberta(?:'s)?|albertan(?:s)?|british\s+columbia(?:'s)?|british\s+columbian(?:s)?|manitoba(?:'s)?|manitoban(?:s)?|saskatchewan(?:'s)?|saskatchewanian(?:s)?|ontario(?:'s)?|ontarian(?:s)?|qu[ée]bec(?:'s)?|qu[ée]b[ée]cois|quebecker(?:s)?|newfoundland(?:\s+and\s+labrador)?(?:'s)?|newfoundlander(?:s)?|labradorian(?:s)?|nova\s+scotia(?:'s)?|nova\s+scotian(?:s)?|new\s+brunswick(?:'s)?|new\s+brunswicker(?:s)?|prince\s+edward\s+island(?:'s)?|pei(?:'s)?|yukon(?:'s)?|yukoner(?:s)?|northwest\s+territories(?:'s)?|northwest\s+territorian(?:s)?|nunavut(?:'s)?|nunavummiut|western(?:\s+canada)?)\b).*$,"Term for an enemy, a possessive relational marker and a national or provincial group"
cultural_dim,^(?!.*\bthe\s+West\b\s+[A-Z])\b(?:the\s+West|Western\s+(?:world|civilization|civilisation|culture|values?|heritage|powers?))\b,The West as cultural signifier
cultural_dim,(?i)(?=.*?\b(absorb|withstand|cope|enormous|massive|huge|unchecked|unrestricted|unbridled|uncontrolled|limitless|boundless)\w*\b).*?\b(immigrants?|immigration|migrants?|migration|asylum|third[ -]?country|refugees?|foreign(?:er)?s?|islamis\w*|influx|newcomers?|arrivals)\b,"Immigrants, immigration and terms referring to a very large amount"
cultural_dim,(?i)\b(?:jus\s+sanguinis|right\s+of\s+blood|blood[- ]?principle|ancestry[- ]?principle|parentage[- ]?principle|jus\s+soli|right\s+of\s+soil|birthplace[- ]?principle|birth[- ]?right\s+citizenship)\b,Jus sanguinis
cultural_dim,(?i)\b(?:asylum\s*seekers?|refugee\s*claimants?)(?!\s*(?:application|claim)s?)\b,Applications for refugee status
cultural_dim,"(?i)\b(?:no|not|is(?:n'?t|\s+not)|ain'?t|was(?:\s+never|n'?t)|were(?:\s+never|n'?t)|never\s+(?:has\s+been|was)|will\s+never\s+be)\s+(?:the\s+|an?\s+)?(?:\w+\s+){0,2}?(?:immigration|immigrant|migration|migrant)[- ]?(?:country|nation|land)\b|\b(?:country|nation|land)\s+of\s+(?:immigration|immigrants?|migration|migrants?)\s+(?:is|was|has\s+been|will\s+be)?\s*(?:not|never|isn'?t|ain'?t|won'?t\s+be)\b",Opposition to considering the country as an immigration country.
cultural_dim,(?i)^(?!.*\bcross-)(?=.*\b(?:cross|crucifix)\b).*?\b(?:official|public|government|state|school|courthouse|office)\b,Christian symbols and governmental buildings
cultural_dim,(?i)^(?!.*\bex-?patriot(?:s|ic|ism)?\b).*\bpatriot(?:s|ic|ism)?\b.*$,Patriotism term. Vetoes expatirates.
cultural_dim,(?i)(?:policy|policies|politics)\s+for\s+(?:locals?|local[- ]?folks|ordinary\s+people|simple\s+people|hard[- ]?working\s+(?:people|canadians?)|hard[- ]?workers?|canadians?|our\s+people|us),Politics that puts nationals first
cultural_dim,(?is)^(?=.*\b(cosmopolit\w*|melting[- ]?pot|multi[- ]?cultur\w*|multi[- ]?(?:ethnic|racial)|diversity\s+(?:agenda|ideology|problem|crisis))\b).*\b(ban|halt|stop|block|boycott|contain|curb|limit|restrict|reject|refus\w*|oppose|fight|resist|abolish|end|terminate|cancel|rollback|reverse|scrap\w*|erod\w*|no\s+more|danger|threat|nonsense|madness|ridiculous)\b,Opposition to multiculturalism
cultural_dim,"(?i)\b(?:population|demographic|great|white|ethnic|people)\b(?:\s+\w+){0,4}?\s+\b(?:replacement|exchange|swap|displacement|substitution|genocide)\b",Terms for great replacement theory
cultural_dim,(?i)^.*\b(?:deport\w*|forced\s+return|send\s+them?\s+back)\b,Term for deportation
cultural_dim,(?ix)^(?=.*\b(?:immigrants?|refugees?|migrants?|asylum\s+seekers?|foreigners?|illegals?|non[- ]?citizens?)\b)(?=.*\b(?:ban|expel\w*|block|bar|deport\w*|expel\w*|kick\s+out|push\s+back|turn\s+away|clamp\s+down|crack\s+down|deter|remov\w*|repatriat\w*)\b).*$ ,Term for a migrant group and term for removal
cultural_dim,(?i)\b(?:not|un|less|barbaric|savage|uncivil(?:e|s)?)\s*(?:-| )?(?:civilis(?:e|ed|es|ing|ation|ations)|civiliz(?:e|ed|es|ing|ation|ations)|practices?)\b,Terms for describing something as uncivilized
cultural_dim,"(?i)\b(?:preserve|protect|defend|safeguard|conserve|maintain|uphold)\w*(?:(?:\s+\w+){0,3}?\b(?:our|alberta's?|manitoba's?|saskatchewan's?|ontario's?|qu[eé]bec's?|british\s+columbia's?|newfoundland(?:\s+and\s+labrador)?'s?|nova\s+scotia's?|new\s+brunswick's?|prince\s+edward\s+island's?|pei's?|yukon's?|northwest\s+territories'|nunavut's?|canadians?|albertans?|manitobans?|saskatchewanians?|ontarians?|qu[eé]b[eé]cois|quebeckers?|british\s+columbians?|newfoundlanders?|labradorians?|nova\s+scotians?|new\s+brunswickers?|islanders?|yukoners?|northwest\s+territorians?|nunavummiut)(?:\s+\w+){0,2}?\b(?:heritage|culture|identity|way\s+of\s+life|tradition|values)\b|(?:\s+\w+){0,2}?\b(?:heritage|culture|identity|way\s+of\s+life|tradition|values)\b(?:\s+\w+){0,2}?\bof\b(?:\s+the)?\s+\b(?:our|canadians?|albertans?|manitobans?|saskatchewanians?|ontarians?|qu[eé]b[eé]cois|quebeckers?|british\s+columbians?|newfoundlanders?|labradorians?|nova\s+scotians?|new\s+brunswickers?|islanders?|yukoners?|northwest\s+territorians?|nunavummiut|alberta|manitoba|saskatchewan|ontario|qu[eé]bec|british\s+columbia|newfoundland(?:\s+and\s+labrador)?|nova\s+scotia|new\s+brunswick|prince\s+edward\s+island|pei|yukon|northwest\s+territories|nunavut))",Protecting our culture
